wall_time_sec,label,timestamp,gpu_util_pct,memory_used_mb,memory_total_mb,power_draw_w
0.031,vllm_long_context,2026/07/08 20:36:39.166,17,37564,40960,236.27
0.562,vllm_long_context,2026/07/08 20:36:39.698,92,37564,40960,230.52
1.093,vllm_long_context,2026/07/08 20:36:40.229,92,37564,40960,186.85
1.624,vllm_long_context,2026/07/08 20:36:40.760,92,37564,40960,236.30
2.156,vllm_long_context,2026/07/08 20:36:41.291,92,37564,40960,232.49
2.687,vllm_long_context,2026/07/08 20:36:41.822,92,37564,40960,238.35
3.218,vllm_long_context,2026/07/08 20:36:42.353,92,37564,40960,233.95
3.749,vllm_long_context,2026/07/08 20:36:42.884,92,37564,40960,238.02
4.281,vllm_long_context,2026/07/08 20:36:43.416,91,37564,40960,234.22
4.813,vllm_long_context,2026/07/08 20:36:43.948,91,37564,40960,240.67
5.344,vllm_long_context,2026/07/08 20:36:44.479,92,37564,40960,233.63
5.875,vllm_long_context,2026/07/08 20:36:45.011,92,37564,40960,242.40
6.406,vllm_long_context,2026/07/08 20:36:45.541,92,37564,40960,231.03
6.936,vllm_long_context,2026/07/08 20:36:46.072,92,37564,40960,238.00
7.467,vllm_long_context,2026/07/08 20:36:46.602,92,37564,40960,239.21
7.999,vllm_long_context,2026/07/08 20:36:47.134,92,37564,40960,242.40
8.529,vllm_long_context,2026/07/08 20:36:47.665,92,37564,40960,244.45
9.06,vllm_long_context,2026/07/08 20:36:48.196,90,37564,40960,243.79
9.591,vllm_long_context,2026/07/08 20:36:48.727,92,37564,40960,240.08
10.122,vllm_long_context,2026/07/08 20:36:49.258,92,37564,40960,243.52
10.654,vllm_long_context,2026/07/08 20:36:49.788,92,37564,40960,242.66
11.186,vllm_long_context,2026/07/08 20:36:50.321,92,37564,40960,234.49
11.718,vllm_long_context,2026/07/08 20:36:50.853,92,37564,40960,233.09
12.248,vllm_long_context,2026/07/08 20:36:51.384,92,37564,40960,240.08
12.779,vllm_long_context,2026/07/08 20:36:51.915,92,37564,40960,228.98
13.31,vllm_long_context,2026/07/08 20:36:52.446,92,37564,40960,231.90
13.841,vllm_long_context,2026/07/08 20:36:52.977,92,37564,40960,231.06
14.373,vllm_long_context,2026/07/08 20:36:53.509,92,37564,40960,234.22
14.905,vllm_long_context,2026/07/08 20:36:54.040,92,37564,40960,230.52
15.437,vllm_long_context,2026/07/08 20:36:54.572,92,37564,40960,243.26
15.968,vllm_long_context,2026/07/08 20:36:55.103,92,37564,40960,232.85
16.499,vllm_long_context,2026/07/08 20:36:55.634,92,37564,40960,239.74
17.029,vllm_long_context,2026/07/08 20:36:56.165,92,37564,40960,236.03
17.563,vllm_long_context,2026/07/08 20:36:56.696,92,37564,40960,242.40
18.093,vllm_long_context,2026/07/08 20:36:57.230,92,37564,40960,230.20
18.624,vllm_long_context,2026/07/08 20:36:57.760,92,37564,40960,233.63
19.156,vllm_long_context,2026/07/08 20:36:58.291,92,37564,40960,240.95
19.687,vllm_long_context,2026/07/08 20:36:58.822,92,37564,40960,235.68
20.218,vllm_long_context,2026/07/08 20:36:59.354,92,37564,40960,233.95
