wall_time_sec,label,timestamp,gpu_util_pct,memory_used_mb,memory_total_mb,power_draw_w
0.029,baseline_medium,2026/07/08 01:51:03.992,3,2668,40960,49.29
0.557,baseline_medium,2026/07/08 01:51:04.521,27,2668,40960,60.64
1.086,baseline_medium,2026/07/08 01:51:05.050,28,2668,40960,60.91
1.617,baseline_medium,2026/07/08 01:51:05.579,28,2668,40960,59.71
2.146,baseline_medium,2026/07/08 01:51:06.109,27,2668,40960,60.31
2.675,baseline_medium,2026/07/08 01:51:06.638,27,2668,40960,61.18
3.206,baseline_medium,2026/07/08 01:51:07.167,27,2668,40960,60.97
3.735,baseline_medium,2026/07/08 01:51:07.698,28,2668,40960,61.18
4.264,baseline_medium,2026/07/08 01:51:08.227,27,2668,40960,61.56
4.794,baseline_medium,2026/07/08 01:51:08.756,27,2668,40960,61.56
5.323,baseline_medium,2026/07/08 01:51:09.286,25,2668,40960,61.18
5.852,baseline_medium,2026/07/08 01:51:09.815,27,2668,40960,61.24
6.382,baseline_medium,2026/07/08 01:51:10.344,27,2668,40960,61.18
6.911,baseline_medium,2026/07/08 01:51:10.874,28,2668,40960,60.91
7.439,baseline_medium,2026/07/08 01:51:11.403,28,2668,40960,61.18
7.968,baseline_medium,2026/07/08 01:51:11.932,28,2668,40960,60.97
8.498,baseline_medium,2026/07/08 01:51:12.461,27,2668,40960,61.18
9.027,baseline_medium,2026/07/08 01:51:12.990,28,2668,40960,61.50
9.556,baseline_medium,2026/07/08 01:51:13.519,28,2668,40960,61.50
10.085,baseline_medium,2026/07/08 01:51:14.048,28,2668,40960,61.18
10.614,baseline_medium,2026/07/08 01:51:14.578,28,2668,40960,61.78
11.144,baseline_medium,2026/07/08 01:51:15.108,27,2668,40960,60.70
11.673,baseline_medium,2026/07/08 01:51:15.637,27,2668,40960,59.51
12.202,baseline_medium,2026/07/08 01:51:16.166,27,2668,40960,60.91
12.731,baseline_medium,2026/07/08 01:51:16.695,27,2668,40960,61.50
13.26,baseline_medium,2026/07/08 01:51:17.223,28,2668,40960,61.78
13.789,baseline_medium,2026/07/08 01:51:17.752,27,2668,40960,60.97
14.317,baseline_medium,2026/07/08 01:51:18.281,27,2668,40960,61.18
14.848,baseline_medium,2026/07/08 01:51:18.810,20,2668,40960,61.50
15.378,baseline_medium,2026/07/08 01:51:19.341,27,2668,40960,61.18
15.907,baseline_medium,2026/07/08 01:51:19.871,27,2668,40960,60.38
16.437,baseline_medium,2026/07/08 01:51:20.400,26,2668,40960,60.31
16.966,baseline_medium,2026/07/08 01:51:20.930,27,2668,40960,61.24
17.495,baseline_medium,2026/07/08 01:51:21.459,28,2668,40960,61.78
18.026,baseline_medium,2026/07/08 01:51:21.987,27,2668,40960,59.51
18.555,baseline_medium,2026/07/08 01:51:22.518,27,2668,40960,61.24
19.084,baseline_medium,2026/07/08 01:51:23.047,27,2668,40960,59.97
19.615,baseline_medium,2026/07/08 01:51:23.576,27,2668,40960,61.78
20.143,baseline_medium,2026/07/08 01:51:24.107,27,2668,40960,60.64
20.672,baseline_medium,2026/07/08 01:51:24.636,27,2668,40960,62.05
21.203,baseline_medium,2026/07/08 01:51:25.165,27,2668,40960,60.91
21.732,baseline_medium,2026/07/08 01:51:25.695,27,2668,40960,60.91
22.261,baseline_medium,2026/07/08 01:51:26.224,27,2668,40960,60.91
22.791,baseline_medium,2026/07/08 01:51:26.753,26,2668,40960,61.18
23.32,baseline_medium,2026/07/08 01:51:27.284,27,2668,40960,60.64
23.849,baseline_medium,2026/07/08 01:51:27.813,26,2668,40960,60.97
24.38,baseline_medium,2026/07/08 01:51:28.342,26,2668,40960,60.31
24.909,baseline_medium,2026/07/08 01:51:28.872,27,2668,40960,60.38
25.439,baseline_medium,2026/07/08 01:51:29.402,27,2668,40960,60.25
25.968,baseline_medium,2026/07/08 01:51:29.931,27,2668,40960,61.24
26.498,baseline_medium,2026/07/08 01:51:30.461,28,2668,40960,61.84
27.027,baseline_medium,2026/07/08 01:51:30.991,27,2668,40960,61.18
27.558,baseline_medium,2026/07/08 01:51:31.520,28,2668,40960,61.50
28.088,baseline_medium,2026/07/08 01:51:32.051,27,2668,40960,60.91
28.618,baseline_medium,2026/07/08 01:51:32.581,27,2668,40960,59.44
29.148,baseline_medium,2026/07/08 01:51:33.111,27,2668,40960,61.24
29.677,baseline_medium,2026/07/08 01:51:33.640,27,2668,40960,61.18
30.206,baseline_medium,2026/07/08 01:51:34.169,28,2668,40960,61.78
30.735,baseline_medium,2026/07/08 01:51:34.699,27,2668,40960,60.64
